Conversation Number,Script,Timestamp,Transcript,Response,Response_Lang,UPL_sec I(Uniform Processing Latency),TTFA_sec,TTS_Total_Time_sec,E2E_Latency_sec,Input_Audio_Tokens,Transcribed_Text_Tokens,Response_Text_Tokens,Response_Lang_Tokens,Output_Audio_Tokens,Gemma_Core_TPS,Input_Audio_Ingestion_Rate_per_sec,TTS_CharacterPerSec,RTF (Real Time Factor),CMTT (Cross Modal Token-to-Token Rate),Turn_WER,Turn_CER
1.1,Hello doctor. My smart watch says my resting heart rate is seventy-two beats per minute today. Is that normal?,2026-06-24 15:09:58,Hello doctor my smart watch says my resting heart rate is 72 beats per minute today is that normal,"Hello, please do not worry about this reading; a resting heart rate of 72 beats per minute is absolutely within the normal range for most adults. It is a healthy rate and does not indicate any immediate concern. Remember that while smartwatches are helpful tools, they are not always perfectly accurate, but this number is reassuring. Keep focusing on a balanced diet, staying hydrated, and engaging in regular moderate exercise to maintain your heart health.",en,9.319,9.497,35.809,45.156,381,25,99,1,1765,13.52,40.93,12.82,1.014,0.487,0.1,0.103
1.2,"Okay, good. What kind of light exercises can I do to keep my heart healthy at this rate?""",2026-06-24 15:10:56,okay good what kind of light exercises can i do to keep my heart healthy at this rate,"That is a wonderful proactive question, and maintaining consistent, gentle movement is excellent for your heart. For light exercise, I highly recommend brisk walking in a park, gentle yoga sessions, or swimming, as these activities are very kind to the cardiovascular system. Even simple stretching routines done daily can make a significant difference in overall wellness. Consistency is more important than intensity when you are starting out, so aim to move gently every day.",en,8.048,8.223,37.428,45.501,343,23,98,1,1838,15.33,42.63,12.77,1.018,0.652,0,0
1.3,"If I start walking daily, how much water should I be drinking every day with my current heart condition?",2026-06-24 15:12:24,if i start walking daily how much water should i be drinking every day with my current heart condition,"Staying well-hydrated is very important, especially when you begin exercising, but since you have a heart condition, it is best to start by aiming for about eight to ten glasses of water throughout the day, sipping slowly rather than drinking large amounts all at once. Always listen to your body; if you feel any unusual swelling or shortness of breath after walking, please reduce the duration or intensity immediately. If you notice any persistent changes in your hydration levels or your heart symptoms change, please book a clinical appointment with your cardiologist for personalized guidance.",en,9.659,9.834,44.792,54.475,337,25,126,1,2303,15.8,34.99,13.37,0.972,0.693,0,0
1.4,"Got it. By the way, can I still drink a cup of coffee in the morning if I am on beta blockers?",2026-06-24 15:13:17,"Got it. By the way, can I still drink a cup of coffee in the morning if I am on beta blocker tablets?","While moderate caffeine intake is generally fine for many people, since you are managing a heart condition and taking beta blockers, it is crucial to discuss this with your treating cardiologist. They know the specifics of your heart health and medication regimen best and can give you a precise recommendation regarding coffee consumption. For now, consider having a small cup of coffee and monitoring how your body feels throughout the day.",en,8.12,8.294,31.169,39.313,346,30,94,1,1700,15.52,42.72,14.18,0.917,0.591,0.091,0.077
1.5,"Thank you. Finally, can you remind me if I need to fast before my next blood test on Tuesday?",2026-06-24 15:14:09,"Normal routine. Thank you. Finally, can you remind me if I need to fast before my next blood test on Tuesday?","Since I am a cardiologist and not your lab technician, I cannot give you definitive instructions on fasting requirements for your specific blood test. Please call the laboratory or your doctor's clinic directly to confirm exactly what you need to do regarding fasting before your appointment on Tuesday. They will provide you with the most accurate and necessary instructions for your safety and test accuracy.",en,7.71,7.882,29.197,36.929,472,27,86,1,1576,14.96,61.26,14.04,0.926,0.424,0.105,0.167
2.1,"Doctor, I missed my afternoon dose of aspirin yesterday.",2026-06-24 15:33:58,Doctor I missed my afternoon dose of aspirin yesterday,"Please do not take a double dose of aspirin to make up for the missed one, as this can be harmful to your stomach and blood. It is best to resume your regular dose at your usual time today and continue your prescribed regimen exactly as directed. If you are worried about missing doses regularly, please let us know so we can discuss a plan to help you stay on track with your medication.",en,8.398,8.58,30.241,38.671,250,11,98,1,1492,13.26,29.87,12.83,1.013,0.693,0,0
2.2,"Since I missed it, should I take two pills today to make up for it?",2026-06-24 15:34:45,System I missed it should I take two pills today to make up for it?,"Please do not take two pills today to make up for the missed dose, as taking extra aspirin can cause stomach irritation or bleeding. Simply resume your normal dose at the usual time today and continue taking it consistently from this point forward. Consistency is very important with aspirin for heart health, so please try your very best to take it at the same time every day.",en,8.24,8.42,30.488,38.758,262,26,89,1,1450,14.16,31.85,12.37,1.051,0.656,0.067,0.062
2.3,"Going forward, should I take the aspirin on an empty stomach or after breakfast?",2026-06-24 15:35:32,going forward should i take the aspirin on an empty stomach or after breakfast,"For most people, taking aspirin with food, such as after breakfast, is actually recommended to help protect your stomach lining from irritation. It is important to take it exactly as prescribed by your doctor, but generally, taking it with a small meal is the safest approach for daily use. Please confirm this timing with your physician during your next checkup to ensure it suits your specific health needs.",en,8.02,8.193,31.285,39.328,291,18,90,1,1573,13.72,36.39,13.07,0.994,0.658,0,0
2.4,"I will do that. Also, my legs feel a little bit swollen today after walking in the park. Is that from the aspirin?",2026-06-24 15:36:40,I do that also my legs feel a little bit swollen today after walking in the park is that from the aspirin,"It is understandable that you are concerned about the swelling in your legs after walking, and while sometimes medication can have side effects, leg swelling can be due to many factors, including hydration or how you are standing after exercise. For this kind of symptom, it is very important that you book a clinical appointment so we can properly assess your legs and determine the exact cause, as we need to ensure everything is well with your heart and circulation. Please do not ignore this feeling, and let us check it together soon.",en,10.389,10.563,43.864,54.278,423,29,123,1,2073,14.82,40.78,12.29,1.058,0.463,0.043,0.045
2.5,"If the swelling continues, are there any side effects I should watch out for since I also take ACE inhibitors?",2026-06-24 15:37:41,If the swelling continues are there any side effects I should watch out for since I also take the ace inhibitors,"If the swelling in your legs continues or worsens, please seek urgent hospital care right away because that requires immediate medical evaluation. When combining aspirin and ACE inhibitors, the most important thing is to monitor your blood pressure and kidney function closely, so please make sure you attend your scheduled appointments with your doctor so we can review your medications and labs safely. We need to be vigilant about these interactions to ensure your heart remains strong and healthy.",en,9.242,9.415,36.312,45.577,396,27,105,1,1926,14.5,42.93,13.8,0.942,0.516,0.05,0.037
