Conversation Number,Script,Detected_Lang,User_Input_ASR,LLM_Response,ASR_Latency_sec,LLM_Latency_sec,TTS_Total_Time_sec,TTFA_sec,E2E_Latency_sec,Input_Audio_Tokens,Transcribed_Text_Tokens,Response_Text_Tokens,Output_Audio_Tokens,ASR_Audio_Token_Rate_per_sec,LLM_TPS,TTS_CPS,RTF,Turn_WER,Turn_CER
1.1,Hello doctor. My smart watch says my resting heart rate is seventy-two beats per minute today. Is that normal?,en,"Hello Doctor, my smartwatch says my resting heart rate is 72 bits per minute today. That's normal.","Indeed, a resting heart rate of 72 beats per minute is within the normal range. It's a good indicator of your cardiovascular health. However, if you experience any symptoms such as chest pain, shortness of breath, or dizziness, it's crucial to consult a healthcare professional immediately. These could be signs of more serious conditions and require immediate attention.",0.299,3.815,30.651,3.841,34.493,60,22,77,1426,200.58,20.22,12.1,1.074,0.35,0.178
1.2,"Okay, good. What kind of light exercises can I do to keep my heart healthy at this rate?""",en,"Okay, good job. What kind of light exercises can I do to keep my heart healthy at this rate?","Absolutely, regular exercise is beneficial for maintaining a healthy heart. You can start with light exercises such as walking, cycling, or swimming at a moderate pace. Aim for 30 minutes of moderate-intensity exercise most days of the week. It's also important to maintain a balanced diet rich in fruits, vegetables, lean proteins, and whole grains. Regular check-ups with your healthcare provider can help monitor your heart health and adjust your exercise routine as needed.",0.302,3.821,51.253,3.843,55.096,60,25,98,1834,198.86,25.76,9.31,1.397,0.056,0.047
1.3,"If I start walking daily, how much water should I be drinking every day with my current heart condition?",en,"If I start walking daily, how much water should I be drinking every day with my current heart condition?","It's great that you're incorporating exercise into your routine. Drinking enough water is essential for maintaining proper hydration and supporting overall health. A good guideline is to aim for eight 8-ounce glasses of water per day, but this amount can vary based on factors like your body weight, activity level, and climate. During or after your walks, consider hydrating further with additional water or water-rich beverages. It's always a good idea to consult with your healthcare provider to determine an individual water intake recommendation based on your specific needs and health condition.",0.297,4.617,49.48,4.631,54.111,60,25,122,2311,202.31,26.5,12.15,1.07,0.0,0.0
1.4,"Got it. By the way, can I still drink a cup of coffee in the morning if I am on beta blockers?",en,"By the way, can I still drink a cup of coffee in the morning if I am on beta blockers?","Beta blockers, like those used to manage high blood pressure, can affect the heart's response to various stimuli, including caffeine. It's essential to consult with your healthcare provider before consuming caffeine while on beta blockers. They can provide personalized advice based on your specific medication and health condition. Generally, it's best to avoid caffeine for several hours before taking your beta blocker dose to ensure the medication has time to work effectively. If you choose to consume caffeine, start gradually by limiting your intake and monitoring your symptoms.",0.312,4.37,51.758,4.384,56.143,60,26,117,2253,192.55,26.78,11.32,1.148,0.091,0.077
1.5,"Thank you. Finally, can you remind me if I need to fast before my next blood test on Tuesday?",en,remind me if I need to fast before my next blood test on Tuesday.,"Certainly, I'd be happy to help. Fasting before blood tests is typically required to ensure accurate results. The length and type of fasting vary depending on the type of test, but it's often recommended to fast for at least 8 hours before the test. This means avoiding food and beverages other than water, coffee without cream, or clear beverages. If you haven't eaten anything since the previous day, it's best to contact your healthcare provider or the laboratory to confirm their specific instructions for your Tuesday blood test.",0.269,4.567,45.997,4.586,50.582,60,18,117,2053,223.08,25.63,11.61,1.12,0.263,0.289
2.1,"Doctor, I missed my afternoon dose of aspirin yesterday.",en,"Doctor, I missed my afternoon dose of aspirin yesterday.","It's important to take your medications as prescribed to prevent potential complications. However, you can take an additional dose of aspirin today to bring your levels back up to optimal. If you have any other concerns or questions about your medication, it's always best to consult your healthcare provider for personalized advice.",0.25,2.929,23.843,2.941,26.785,60,11,69,1280,240.14,23.61,13.97,0.931,0.0,0.0
2.2,"Since I missed it, should I take two pills today to make up for it?",en,I missed it. Should I do two things today to make up for it?,"Yes, you can take an additional dose today to bring your aspirin levels back up to optimal. However, it's essential to consult your healthcare provider for personalized advice if you have any concerns or questions about your medication.",0.274,1.811,19.454,1.837,21.291,60,18,50,907,218.65,27.91,12.13,1.072,0.2,0.215
2.3,"Going forward, should I take the aspirin on an empty stomach or after breakfast?",en,"Going forward, should I take the aspirin on an empty stomach or after breakfast?","It's best to take aspirin on an empty stomach, usually 30 to 60 minutes before a meal. This helps prevent irritation in the stomach and reduces the risk of stomach upset. However, your healthcare provider can provide personalized advice based on your specific medical history and current medications.",0.278,2.407,25.789,2.418,28.207,60,18,63,1153,215.87,26.52,11.63,1.118,0.0,0.0
2.4,"I will do that. Also, my legs feel a little bit swollen today after walking in the park. Is that from the aspirin?",en,I heard that also my legs feel a little bit swollen today after walking in the car. Is that from that feeling?,"Swelling in the legs can be due to various factors, including dehydration, prolonged sitting or standing, or hormonal changes. However, it's essential to consult a healthcare provider for an accurate diagnosis and treatment. Aspirin can also contribute to leg swelling, but it's not the only cause. Your healthcare provider can provide personalized advice based on your medical history and current medications.",0.314,3.103,31.613,3.104,34.717,60,29,81,1576,190.78,26.14,12.97,1.002,0.217,0.145
2.5,"If the swelling continues, are there any side effects I should watch out for since I also take ACE inhibitors?",en,"The spelling continues, are there any side effects I should watch out for since I also take the HCA inhibitors?","Aspirin and HCA inhibitors, such as ibuprofen or naproxen, can cause side effects when taken together. Some potential side effects include stomach upset, dizziness, and increased risk of bleeding. Your healthcare provider can provide personalized advice based on your medical history and current medications to help minimize these risks.",0.316,2.466,26.788,2.475,29.263,60,26,65,1296,189.88,26.43,12.58,1.033,0.2,0.093
