Category,Metric Heading,Brief Definition,Core Mathematics / Proxy Calculation,R&I Role in Cascaded Pipeline
Latency,ASR_Latency_sec,Wall-clock time spent inside Faster-Whisper Large-v3.,tASR_complete​−tASR_start​,Isolates speech-to-text processing speed on the Blackwell GPU.
Latency,LLM_Latency_sec,Processing and text generation time for Nemotron-4B.,tLLM_complete​−tLLM_start​,Tracks localized reasoning turnaround over conversational history.
Latency,TTS_Total_Time_sec,Synthesis and physical output execution duration for Coqui XTTS.,tTTS_complete​−tTTS_start​,Monitors total blocking call time for sentence playback.
Latency,TTFA_sec,Time to First Audio playback initialization from user endpoint.,tfirst_audio_chunk​−tVAD_endpoint​,Critical target metric for measuring conversational gap pacing.
Latency,E2E_Latency_sec,Full lifecycle duration of a singular interactive dialogue turn.,tTTS_complete​−tVAD_endpoint​,Summarizes the combined physical cost of cascading over individual steps.
Volume Counts,Input_Audio_Ingestion_Tokens,Frame token breakdown of the raw microphone payload array.,Whisper Window Step (400 samples)Audio Samples Captured​,Normalizes incoming voice quantities captured at 16kHz.
Volume Counts,Transcribed_Text_Tokens,Sub-word representation of text decoded by Whisper.,Word Count×Language Factor (1.33 / 1.5),Normalizes multilingual input densities (English vs. Devanagari).
Volume Counts,Response_Text_Tokens,Sub-word breakdown of text generated by Nemotron-4B.,Word Count×Language Factor (1.33 / 1.5),Tracks expansion rates of AI output speech density.
Volume Counts,Output_Audio_tokens,Codec framework representation of synthesized target waveform.,Estimated Spoken Duration (sec)×50 frames/sec,Normalizes total physical sound volume returned to the patient.
Normalized Latency,LLM_TokenPerSec,Raw token processing velocity of the Nemotron engine.,LLM_Latency_secResponse_Text_Tokens​,Standardized throughput score independent of output answer length.
Normalized Latency,TTS_CharacterPerSec,Pure character processing density index for Coqui XTTS.,TTS_Total_Time_secTotal Raw Response Characters​,Directly measures if synthesis speed outpaces human speech rate.
Normalized Latency,RTF,Real-Time Factor. Efficiency marker of localized voice generation.,Estimated Spoken Duration (sec)TTS_Total_Time_sec​,Production metric; an RTF <1.0 is mandatory to avoid zero-stutter.
Normalized Latency,ASR_Audio_Token_Rate_per_sec,Audio token ingestion velocity scale inside Whisper.,ASR_Latency_secInput_Audio_Ingestion_Tokens​,Assesses raw feature ingestion performance over local VRAM boundaries.
ASR Performance,Turn_WER,Word Error Rate. Accuracy alignment against ground-truth scripts.,Total Words in Ground-Truth ScriptSubstitutions+Deletions+Insertions​,Standardized ASR precision metric; lowers casing/punctuation bias.
ASR Performance,Turn_CER,Character Error Rate. Character-level phonetic precision tracker.,Total Characters in Ground-Truth ScriptCharacter-level (Sub + Del + Ins)​,Mandatory for Indian scripts to track fine-grained Devanagari matra errors.
